Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D3.0mm,1,LED,
D3,LED_D3.0mm,1,LED,
D5,LED_D3.0mm,1,IR LED,
D6,LED_D3.0mm,1,LED,
D7,LED_D3.0mm,1,LED,
D8,LED_D3.0mm,1,LED,
D9,LED_D3.0mm,1,LED,
D10,LED_D3.0mm,1,LED,
D11,LED_D3.0mm,1,LED,
D12,LED_D3.0mm,1,LED,
D13,LED_D3.0mm,1,LED,
D14,LED_D3.0mm,1,LED,
D15,LED_D3.0mm,1,LED,
D16,LED_D3.0mm,1,LED,
D17,LED_D3.0mm,1,LED,
D18,LED_D3.0mm,1,LED,
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,220,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,220,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,220,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,10k,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,47,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,220,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,220,
R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,1k,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,1k,
R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,1k,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,220,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,1k,
R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R14,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R15,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,5.6k,
R18,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,4.7k,
R20,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R22,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R23,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R24,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
R25,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
RV1,Potentiometer_Alps_RK09K_Single_Vertical,1,1k,
SW1,SW_PUSH_6mm,1,SW_Push,
SW2,SW_PUSH_6mm,1,SW_Push,
SW3,SW_PUSH_6mm,1,SW_Push,
SW4,SW_PUSH_6mm,1,SW_Push,
U1,TO-92-3,1,DS18S20_,DS18S20+
U2,TO-92-3,1,DS18S20_,DS18S20+
J16,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
D2,LED_D3.0mm,1,LED,
D22,LED_D3.0mm,1,LED,
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J8,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
R27,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,560,
RLY2,Relay_THT_G5LE-14,1,G5LE-14_DC5,G5LE-14 DC5
U3,DIP-20_W7.62mm_LongPads,1,TPIC6595,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
D20,D_DO-201AE_P15.24mm_Horizontal,1,D_Schottky,
J10,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
C1,C_Disc_D7.5mm_W5.0mm_P10.00mm,1,100nf,
J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
Q1,LED_D3.0mm,1,Q_Photo_NPN,
H2,MountingHole_3.2mm_M3_DIN965,1,MountingHole,
H3,MountingHole_3.2mm_M3_DIN965,1,MountingHole,
RV2,Potentiometer_Alps_RK09K_Single_Vertical,1,1k,
H4,MountingHole_3.2mm_M3_DIN965,1,MountingHole,
H1,MountingHole_3.2mm_M3_DIN965,1,MountingHole,
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
ENC1,Bourns_Inc.-PEC16-4015F-N0024-MFG,1,PEC16-4015F-N0024,
R26,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,5.6k,
